settlement_id,aae_range,exp_type,day_type,type_of_settlement,observation_count,mean_ebc,sd_ebc,median_ebc,total_obs,pct_obs,right,left,mid,wt_av_ebc,sum_ebc,wt_percent
Namiwawa,ff,mobile_monitoring,weekday,Formal,88,7.200538735632292,6.71361651876495,4.165640000000002,152,57.9,57.9,0,28.95,4.169111927931097,5.422460233314642,76.88598437876605
Namiwawa,Mixed,mobile_monitoring,weekday,Formal,35,3.4217531274971433,1.8469675737937585,3.046,152,23,80.9,57.9,69.4,0.7870032193243429,5.422460233314642,14.513766546209661
Namiwawa,bb,mobile_monitoring,weekday,Formal,29,2.441597309210483,0.9530960955772474,2.28276,152,19.1,100,80.9,90.45,0.4663450860592022,5.422460233314642,8.600249075024285
Namiwawa,ff,mobile_monitoring,weekend,Formal,62,9.320686021377652,9.005486681795688,6.8904999999999985,159,39,39,0,19.5,3.6350675483372843,5.23235924475558,69.4728205442073
Namiwawa,Mixed,mobile_monitoring,weekend,Formal,70,3.0816942999405716,1.8292125602704867,2.9005597360128004,159,44,83,39,61,1.3559454919738516,5.23235924475558,25.91460999802188
Namiwawa,bb,mobile_monitoring,weekend,Formal,27,1.4196835555555556,0.41522832845012775,1.2862,159,17,100,83,91.5,0.24134620444444443,5.23235924475558,4.612569457770832
Naperi,ff,mobile_monitoring,weekday,Formal,68,1.2949058983725177,0.7582775486672403,1.0795000000000003,190,35.8,35.8,0,17.9,0.4635763116173613,2.162258013276917,21.43945397685488
Naperi,Mixed,mobile_monitoring,weekday,Formal,68,3.4324436011595294,3.007559097393662,2.9619000000000004,190,35.8,71.6,35.8,53.699999999999996,1.2288148092151114,2.162258013276917,56.83016558013973
Naperi,bb,mobile_monitoring,weekday,Formal,54,1.654460888888889,0.31895125456127904,1.6534,190,28.4,100,71.6,85.8,0.4698668924444444,2.162258013276917,21.730380443005405
Naperi,ff,mobile_monitoring,weekend,Formal,7,11.200343784579658,2.3529870291003414,10.737400000000001,165,4.2,4.2,0,2.1,0.47041443895234564,2.6410474107037505,17.81166203400324
Naperi,Mixed,mobile_monitoring,weekend,Formal,47,2.9564357818999834,1.8193765006330433,2.1111999999999997,165,28.5,32.7,4.2,18.450000000000003,0.8425841978414952,2.6410474107037505,31.903410534268854
Naperi,bb,mobile_monitoring,weekend,Formal,111,1.9733265585585587,0.41752876115206256,1.9316000000000002,165,67.3,100,32.7,66.35,1.3280487739099098,2.6410474107037505,50.28492743172791
Nyambadwe,ff,mobile_monitoring,weekday,Formal,57,6.586194685533418,4.2705467692569234,6.820200000000001,157,36.3,36.3,0,18.15,2.3907886708486306,3.786494862412659,63.13988946825826
Nyambadwe,Mixed,mobile_monitoring,weekday,Formal,46,2.956327241674574,1.483800158470328,2.5170000000000003,157,29.3,65.6,36.3,50.949999999999996,0.8662038818106502,3.786494862412659,22.876140422351636
Nyambadwe,bb,mobile_monitoring,weekday,Formal,54,1.5392509004458668,0.6906539775356402,1.32964,157,34.4,100,65.6,82.8,0.5295023097533782,3.786494862412659,13.983970109390103
Nyambadwe,ff,mobile_monitoring,weekend,Formal,19,15.242798191518993,10.894014807306842,17.6916,167,11.4,11.4,0,5.7,1.7376789938331652,4.202303575073319,41.35062978649388
Nyambadwe,Mixed,mobile_monitoring,weekend,Formal,61,4.3721215999966425,3.6393452385174387,3.664401781964801,167,36.5,47.9,11.4,29.65,1.5958243839987745,4.202303575073319,37.97499051388574
Nyambadwe,bb,mobile_monitoring,weekend,Formal,87,1.6675627586206898,0.9798299983500813,1.3984,167,52.1,100,47.9,73.95,0.8688001972413794,4.202303575073319,20.674379699620367
Sunnyside,ff,mobile_monitoring,weekday,Formal,65,3.7785878099574157,3.9299081330790777,2.5892,174,37.4,37.4,0,18.7,1.4131918409240734,3.3742843884632103,41.881231047265096
Sunnyside,Mixed,mobile_monitoring,weekday,Formal,47,3.631617454446026,3.1753683845044876,2.5276000000000005,174,27,64.4,37.4,50.900000000000006,0.980536712700427,3.3742843884632103,29.059101125350146
Sunnyside,bb,mobile_monitoring,weekday,Formal,62,2.7543703225806455,1.4530020368640375,2.6740000000000004,174,35.6,100,64.4,82.2,0.9805558348387099,3.3742843884632103,29.059667827384754
Sunnyside,ff,mobile_monitoring,weekend,Formal,54,5.7273379014599115,3.7560483995673195,4.5557,146,37,37,0,18.5,2.1191150235401675,3.8968042772626608,54.38084319258538
Sunnyside,Mixed,mobile_monitoring,weekend,Formal,61,3.438830808565928,2.433113689115915,2.8488,146,41.8,78.8,37,57.9,1.4374312779805578,3.8968042772626608,36.88743841633976
Sunnyside,bb,mobile_monitoring,weekend,Formal,31,1.6049904516129034,0.3953324390362149,1.6230000000000004,146,21.2,100,78.8,89.4,0.34025797574193556,3.8968042772626608,8.73171839107486
