settlement_id,aae_range,exp_type,day_type,type_of_settlement,observation_count,mean_ebc,sd_ebc,median_ebc,total_obs,pct_obs,right,left,mid,wt_av_ebc,sum_ebc,wt_percent
Bangwe,ff,mobile_monitoring,weekday,Informal,46,27.037850265962856,37.21060679277962,14.858864,134,34.3,34.3,0,17.15,9.27398264122526,12.793001181746488,72.49262709721086
Bangwe,Mixed,mobile_monitoring,weekday,Informal,42,7.361189307216457,4.264707028915899,7.1600717596672,134,31.3,65.6,34.3,49.949999999999996,2.304052253158751,12.793001181746488,18.010255923733165
Bangwe,bb,mobile_monitoring,weekday,Informal,46,3.542175764905183,1.9564603736912982,4.107590796544,134,34.3,99.89999999999999,65.6,82.75,1.2149662873624778,12.793001181746488,9.49711697905598
Bangwe,ff,mobile_monitoring,weekend,Informal,13,29.011969230769232,27.045867825584274,13.8728,126,10.3,10.3,0,5.15,2.988232830769231,6.68187045102605,44.721502050527874
Bangwe,Mixed,mobile_monitoring,weekend,Informal,57,5.1660427130844075,2.951584042761957,5.0788,126,45.2,55.5,10.3,32.9,2.3350513063141523,6.68187045102605,34.946072711654985
Bangwe,bb,mobile_monitoring,weekend,Informal,56,3.0598790854564575,1.821683198061426,2.2343,126,44.4,99.9,55.5,77.7,1.358586313942667,6.68187045102605,20.332425237817148
Chirimba,ff,mobile_monitoring,weekday,Informal,11,7.091636363636364,5.4643661545091815,2.5326000000000004,253,4.3,4.3,0,2.15,0.3049403636363637,3.617020170928032,8.43070674826024
Chirimba,Mixed,mobile_monitoring,weekday,Informal,99,4.9230596443715235,4.1562547549396935,3.1022,253,39.1,43.4,4.3,23.849999999999998,1.924916320949266,3.617020170928032,53.21829102366834
Chirimba,bb,mobile_monitoring,weekday,Informal,143,2.4551566129954017,1.4706404786700233,1.9314000000000002,253,56.5,99.9,43.4,71.65,1.387163486342402,3.617020170928032,38.351002228071415
Chirimba,ff,mobile_monitoring,weekend,Informal,20,2.9179276,1.0805044957559797,2.6421200000000002,270,7.4,7.4,0,3.7,0.2159266424,2.038384953130902,10.593025722071916
Chirimba,Mixed,mobile_monitoring,weekend,Informal,71,2.2204561296398424,0.6375382553674177,2.25,270,26.3,33.7,7.4,20.55,0.5839799620952786,2.038384953130902,28.64914996543228
Chirimba,bb,mobile_monitoring,weekend,Informal,179,1.8679914760718304,0.8081260407915949,1.675,270,66.3,100,33.7,66.85,1.2384783486356234,2.038384953130902,60.75782431249581
Kacheri,ff,mobile_monitoring,weekday,Informal,51,8.843576470588236,6.118210886937071,6.740600000000001,148,34.5,34.5,0,17.25,3.0510338823529413,5.259232404481793,58.01291229786541
Kacheri,Mixed,mobile_monitoring,weekday,Informal,63,4.241707936507937,3.8547519079744634,2.5564,148,42.6,77.1,34.5,55.8,1.8069675809523813,5.259232404481793,34.35800972424277
Kacheri,bb,mobile_monitoring,weekday,Informal,34,1.7444823529411766,0.9349124854427393,1.7478000000000002,148,23,100.1,77.1,88.6,0.4012309411764706,5.259232404481793,7.629077977891814
Kacheri,ff,mobile_monitoring,weekend,Informal,30,7.622973333333333,3.4884092862263003,7.586400000000001,163,18.4,18.4,0,9.2,1.4026270933333334,3.522886943308593,39.81470640145002
Kacheri,Mixed,mobile_monitoring,weekend,Informal,86,2.9773697674418607,1.3052042265322286,2.7208,163,52.8,71.19999999999999,18.4,44.8,1.5720512372093023,3.522886943308593,44.6239479866157
Kacheri,bb,mobile_monitoring,weekend,Informal,47,1.9035021276595747,0.5965282235712857,1.8418000000000005,163,28.8,100,71.19999999999999,85.6,0.5482086127659574,3.522886943308593,15.56134561193428
Ndirande,ff,mobile_monitoring,weekday,Informal,14,6.152030678272,3.5125181242189747,4.9775,118,11.9,11.9,0,5.95,0.732091650714368,2.8002283480170247,26.14399826474141
Ndirande,Mixed,mobile_monitoring,weekday,Informal,57,2.488396739052239,1.1586873461676892,1.9222000000000001,118,48.3,60.199999999999996,11.9,36.05,1.2018956249622312,2.8002283480170247,42.921343390204264
Ndirande,bb,mobile_monitoring,weekday,Informal,47,2.176485106382979,1.618556105725734,1.6316,118,39.8,100,60.199999999999996,80.1,0.8662410723404256,2.8002283480170247,30.934658345054334
Ndirande,ff,mobile_monitoring,weekend,Informal,17,16.16724376938014,22.104015963045292,3.1262000000000008,145,11.7,11.7,0,5.85,1.8915675210174763,3.462046806370899,54.637260176164915
Ndirande,Mixed,mobile_monitoring,weekend,Informal,89,1.7114940441243327,0.6277625691485206,1.5876000000000001,145,61.4,73.1,11.7,42.4,1.0508573430923402,3.462046806370899,30.353643433085313
Ndirande,bb,mobile_monitoring,weekend,Informal,39,1.9316800827549538,1.632698161125723,1.066,145,26.9,100,73.1,86.55,0.5196219422610825,3.462046806370899,15.009096390749777
