settlement_id,aae_range,exp_type,day_type,type_of_settlement,observation_count,mean_ebc,sd_ebc,median_ebc,total_obs,pct_obs,right,left,mid,wt_av_ebc,sum_ebc,wt_percent
Ndirande,ff,stationary_monitoring,weekday,NA,60,3.6557779883652977,2.604252258950492,2.921955242424243,644,9.3,9.3,0,4.65,0.3399873529179727,3.6577285774098143,9.295040507317564
Ndirande,Mixed,stationary_monitoring,weekday,NA,413,3.9795435887823105,2.8618208964229592,3.253196666666667,644,64.1,73.39999999999999,9.3,41.349999999999994,2.550887440409461,3.6577285774098143,69.73965909236074
Ndirande,bb,stationary_monitoring,weekday,NA,171,2.882908962715718,2.110607478133638,2.3571473333333337,644,26.6,100,73.39999999999999,86.69999999999999,0.7668537840823809,3.6577285774098143,20.9653004003217
Ndirande,ff,stationary_monitoring,weekend,NA,21,2.108295047619048,1.916134549013793,1.8458740000000002,269,7.8,7.8,0,3.9,0.16444701371428572,3.2859913019529876,5.0044871882816215
Ndirande,Mixed,stationary_monitoring,weekend,NA,188,3.508913591118377,2.7159442814726544,2.6719678,269,69.9,77.7,7.8,42.75,2.452730600191746,3.2859913019529876,74.64202959800886
Ndirande,bb,stationary_monitoring,weekend,NA,60,2.9991645203899364,2.6599054737445322,1.7523800000000003,269,22.3,100,77.7,88.85,0.6688136880469558,3.2859913019529876,20.35348321370951
Sunnyside,ff,stationary_monitoring,weekday,NA,60,5.5280272695921315,5.903950644040734,2.9666303333333337,590,10.2,10.2,0,5.1,0.5638587814983974,4.01341602902863,14.049347922569307
Sunnyside,Mixed,stationary_monitoring,weekday,NA,364,4.566255353449371,4.251750462629086,3.1087533333333335,590,61.7,71.9,10.2,41.050000000000004,2.817379553078262,4.01341602902863,70.19904073488625
Sunnyside,bb,stationary_monitoring,weekday,NA,166,2.249742684882457,1.6986183577805731,1.674834666666667,590,28.1,100,71.9,85.95,0.6321776944519705,4.01341602902863,15.751611342544445
Sunnyside,ff,stationary_monitoring,weekend,NA,15,3.9549757866666675,6.610680234997729,1.3421488000000001,285,5.3,5.3,0,2.65,0.2096137166933334,4.198444442532373,4.992651911023047
Sunnyside,Mixed,stationary_monitoring,weekend,NA,200,4.815491892362527,4.69870499700778,3.206184933333334,285,70.2,75.5,5.3,40.4,3.380475308438494,4.198444442532373,80.51732861324932
Sunnyside,bb,stationary_monitoring,weekend,NA,70,2.4729895016282324,2.1080990238456176,1.8328160000000004,285,24.6,100.10000000000001,75.5,87.80000000000001,0.6083554174005452,4.198444442532373,14.49001947572763
