hour,settlement_id,lower_ci,upper_ci,mean,lower_ci_ir,upper_ci_ir,mean_ir
0,Ndirande,1.4851280401009939,1.6206522022007226,1.5528901211508581,1.6658832948595328,3.002005744815809,2.333944519837671
0,Sunnyside,1.3820661025237613,1.4928471062902724,1.437456604407017,1.741836730663005,3.6256165804481073,2.683726655555556
1,Ndirande,1.4898967802792626,1.6506959482602406,1.5702963642697516,1.5764511785035435,2.955272782508445,2.2658619805059943
1,Sunnyside,1.374305242582639,1.4840452129578259,1.4291752277702323,1.586049803792752,3.5286152252916936,2.5573325145422228
2,Ndirande,1.4741142389141488,1.7203022494954028,1.5972082442047757,1.3282445940919896,2.5354720551525998,1.9318583246222947
2,Sunnyside,1.470217680159037,1.6149330577497742,1.5425753689544055,1.9495945751307107,3.6967900191550047,2.8231922971428576
3,Ndirande,1.4781263083076892,1.6593044556924912,1.56871538200009,1.4341574447381142,2.74758259850513,2.090870021621622
3,Sunnyside,1.6261178312029505,1.7897632865596314,1.7079405588812908,2.7282010119624336,5.0786072013709,3.903404106666667
4,Ndirande,1.438969326724665,1.5465873682875142,1.4927783475060896,1.7618106531061117,3.294079098245241,2.527944875675676
4,Sunnyside,1.5708127208491276,1.7376209108656522,1.65421681585739,3.064213928836161,6.636312817484186,4.850263373160174
5,Ndirande,1.4028544102083607,1.4938479325564067,1.4483511713823838,2.645476987646762,4.471845538151765,3.5586612628992635
5,Sunnyside,1.4018558483779588,1.5246638336070415,1.4632598409925002,4.078894454578238,8.136076181030422,6.10748531780433
6,Ndirande,1.3327663841024944,1.4456669099468802,1.3892166470246872,4.052089413118213,6.6134118776270805,5.332750645372647
6,Sunnyside,1.351415662898616,1.4673886127541842,1.4094021378264001,5.340082789090408,10.896989528642095,8.11853615886625
7,Ndirande,1.3294090536172083,1.4461747539183558,1.387791903767782,3.91484552943035,6.124110725742639,5.019478127586495
7,Sunnyside,1.402596374646116,1.499521278828413,1.4510588267372646,3.637847576709628,7.8355639982903735,5.736705787500001
8,Ndirande,1.3115034661786804,1.45473258729656,1.3831180267376202,3.1400841705099594,4.680968529846796,3.910526350178378
8,Sunnyside,1.4783774639450797,1.5584700142998795,1.5184237391224795,2.9139608331778106,4.751897176373281,3.8329290047755453
9,Ndirande,1.4205101124701576,1.524860561064773,1.4726853367674653,2.4762757719501547,3.7446475822176493,3.1104616770839018
9,Sunnyside,1.515054700712327,1.6105538738938143,1.5628042873030705,2.380173050591577,3.6332707228231214,3.006721886707349
10,Ndirande,1.4619937063992388,1.5717741385849944,1.5168839224921165,2.345452583586555,3.525546307641516,2.9354994456140355
10,Sunnyside,1.5325737170356704,1.614451845188216,1.5735127811119431,2.151227165027819,3.3524920698417557,2.7518596174347874
11,Ndirande,1.5185845845952441,1.6286851876207087,1.5736348861079765,2.2648143122724127,3.5089779684293427,2.8868961403508777
11,Sunnyside,1.5540980767173678,1.6860604709990916,1.6200792738582297,1.9044188680397371,3.244121231830647,2.5742700499351923
12,Ndirande,1.5461183436754264,1.7094936631117965,1.6278060033936115,2.540639460981121,3.88932895241601,3.214984206698565
12,Sunnyside,1.6027054280520028,1.681534833712543,1.6421201308822728,2.0564720804691343,3.1607702315748916,2.608621156022013
13,Ndirande,1.529967150494732,1.6662514917641233,1.5981093211294277,2.5824881270741322,3.9323582358320204,3.2574231814530763
13,Sunnyside,1.5914568103114861,1.6889177270462021,1.640187268678844,1.990815350811557,3.193183295914191,2.5919993233628738
14,Ndirande,1.5037481456848585,1.6030621533922405,1.5534051495385495,2.755707162776946,4.136080587607643,3.4458938751922945
14,Sunnyside,1.5912278760385368,1.6932360421177806,1.6422319590781587,2.053761713963506,3.1560571002649844,2.604909407114245
15,Ndirande,1.5157126753430583,1.6083347129938026,1.5620236941684305,2.8316237935980157,4.429647242577237,3.6306355180876264
15,Sunnyside,1.5485943907663333,1.6418473600785817,1.5952208754224575,2.1731348908323085,3.313040976454078,2.7430879336431935
16,Ndirande,1.4964449119325882,1.5955614121188968,1.5460031620257426,3.171201758268208,4.502763755577947,3.8369827569230774
16,Sunnyside,1.4839341701323405,1.5835270524945628,1.5337306113134517,2.7105629381651797,4.067829013232589,3.3891959756988843
17,Ndirande,1.4388727384600724,1.5039102098231782,1.4713914741416254,4.4895864340103255,6.32626917493444,5.407927804472383
17,Sunnyside,1.4172425385936238,1.5154179012384184,1.466330219916021,3.830648120103766,6.192939546510473,5.01179383330712
18,Ndirande,1.4837585432902112,1.5634588947464212,1.5236087190183163,5.015923163229856,6.987465607666376,6.001694385448116
18,Sunnyside,1.4582568368075752,1.5392551796070777,1.4987560082073266,5.134866662411142,8.278664863727979,6.70676576306956
19,Ndirande,1.4949174589744325,1.5918261675890508,1.5433718132817418,4.7122065485839,6.757737586640036,5.7349720676119675
19,Sunnyside,1.4654871139674646,1.5361430253400792,1.5008150696537719,5.079327859446064,9.06917839637531,7.074253127910687
20,Ndirande,1.496150183125014,1.61182350321398,1.553986843169497,3.468137440418747,5.066113892914589,4.267125666666668
20,Sunnyside,1.4304418346890089,1.5148741498878948,1.4726579922884517,4.0293722144883395,7.8521264023480315,5.9407493084181855
21,Ndirande,1.3520919058418808,1.5413577617886245,1.4467248338152525,2.281758675987677,4.127266175733889,3.2045124258607833
21,Sunnyside,1.3978359543584904,1.4907822143194411,1.4443090843389659,2.976694991651319,5.799989882062891,4.388342436857105
22,Ndirande,1.4227011601523933,1.5750972148370062,1.4988991874946997,1.825790255475683,3.3739970757396285,2.599893665607656
22,Sunnyside,1.3953953445700606,1.5068563598501208,1.4511258522100907,2.081714693101142,4.11203071810181,3.0968727056014758
23,Ndirande,1.5289516951235975,1.627635173601442,1.57829343436252,1.7613927763218349,3.267893328916476,2.5146430526191557
23,Sunnyside,1.3825314338191554,1.4997709110687798,1.4411511724439676,1.7891073950281156,3.868380812379293,2.828744103703704
